time,open,high,low,close,EMA Small,EMA Big
2024-07-21T14:00:00Z,66797,67411,66720,67315,66986.7920707409,66952.18739780944
2024-07-21T15:00:00Z,67313,67522,67023,67199,67019.43944447307,66974.62490709948
2024-07-21T16:00:00Z,67198,67609,66992,67579,67105.5256837849,67029.56809736317
2024-07-21T17:00:00Z,67595,67727,66521,66655,67036.21404012569,66995.51645214834
2024-07-21T18:00:00Z,66650,67346,65833,66896,67014.64264933713,66986.46950195303
2024-07-21T19:00:00Z,66896,67727,66816,67460,67083.15916482372,67029.51772904821
2024-07-21T20:00:00Z,67452,68239,67301,67711,67179.75006254316,67091.4706627711
2024-07-21T21:00:00Z,67745,68288,67576,68223,67340.25005292114,67194.33696615555
2024-07-21T22:00:00Z,68202,68364,67965,68021,67444.9808140102,67269.4881510505
2024-07-21T23:00:00Z,68021,68213,67913,68158,67554.67607339325,67350.26195550045
2024-07-22T00:00:00Z,68170,68486,68050,68207,67655.03360056352,67428.14723227314
2024-07-22T01:00:00Z,68207,68255,67767,67868,67687.79766201529,67468.13384752104
2024-07-22T02:00:00Z,67857,68206,67759,68086,67749.05956016679,67524.3034977464
2024-07-22T03:00:00Z,68086,68112,67857,67895,67771.51193552575,67558.00317976945
2024-07-22T04:00:00Z,67894,68009,67784,67929,67795.74086852178,67591.73016342678
2024-07-22T05:00:00Z,67938,67951,67543,67622,67769.01150413381,67594.48196675161
2024-07-22T06:00:00Z,67637,67745,67160,67408,67713.47127272861,67577.52906068329
2024-07-22T07:00:00Z,67420,67423,67199,67250,67642.16800000113,67547.75369153026
2024-07-22T08:00:00Z,67249,67402,67050,67095,67557.98830769326,67506.59426502751
2024-07-22T09:00:00Z,67092,67419,66975,67417,67536.29779881738,67498.44933184319
2024-07-22T10:00:00Z,67427,67531,67310,67424,67519.02121438393,67491.68121076653
2024-07-22T11:00:00Z,67431,67597,67309,67526,67520.09487370947,67494.80110069684
2024-07-22T12:00:00Z,67527,67702,67375,67702,67548.08027775417,67513.63736426986
2024-07-22T13:00:00Z,67701,67979,67012,67104,67479.76023502275,67476.39760388169
2024-07-22T14:00:00Z,67111,67338,66591,66700,67359.79712194233,67405.81600352882
2024-07-22T15:00:00Z,66708,67201,66583,67071,67315.36679548967,67375.3781850262
2024-07-22T16:00:00Z,67082,67321,66832,67071,67277.77190387587,67347.7074409329
2024-07-22T17:00:00Z,67067,67491,67013,67489,67310.26853404881,67360.55221902991
2024-07-22T18:00:00Z,67488,67680,67354,67474,67335.457990349,67370.86565366355
2024-07-22T19:00:00Z,67466,68306,67395,68233,67473.54137644915,67449.2415033305
2024-07-22T20:00:00Z,68276,68298,67850,68151,67577.76578007235,67513.03773030045
2024-07-22T21:00:00Z,68151,68190,67687,67881,67624.41719852276,67546.48884572768
2024-07-22T22:00:00Z,67880,67888,67533,67663,67630.35301413464,67557.08076884334
2024-07-22T23:00:00Z,67670,67676,67290,67562,67619.83716580624,67557.52797167577
2024-07-23T00:00:00Z,67561,67776,67485,67509,67602.78529414374,67553.11633788706
2024-07-23T01:00:00Z,67509,67517,67233,67422,67574.97217196779,67541.19667080641
2024-07-23T02:00:00Z,67425,67710,67261,67657,67587.5918378189,67551.72424618764
2024-07-23T03:00:00Z,67658,67719,67463,67472,67569.80847815445,67544.4765874433
2024-07-23T04:00:00Z,67491,67546,66935,66935,67472.14563536145,67489.06962494846
2024-07-23T05:00:00Z,66932,66954,66343,66441,67313.50784530584,67393.79056813497
2024-07-23T06:00:00Z,66440,66775,66440,66528,67192.66048448955,67315.08233466816
2024-07-23T07:00:00Z,66529,66672,66264,66577,67097.94348687577,67247.98394060742
2024-07-23T08:00:00Z,66587,66990,66525,66885,67065.18295043334,67214.98540055219
2024-07-23T09:00:00Z,66896,67163,66772,66945,67046.6932657513,67190.44127322927
2024-07-23T10:00:00Z,66944,67026,66831,66878,67020.7404556357,67162.03752111751
2024-07-23T11:00:00Z,66867,66867,66466,66691,66970.01115476867,67119.21592828864
2024-07-23T12:00:00Z,66690,66774,66391,66502,66898.0094386504,67063.10538935331
2024-07-23T13:00:00Z,66507,66738,65978,66101,66775.39260193496,66975.64126304847
2024-07-23T14:00:00Z,66111,67361,65986,67238,66846.56297086805,66999.49205731679
2024-07-23T15:00:00Z,67244,67264,66368,66615,66810.93789842681,66964.53823392435
2024-07-23T16:00:00Z,66613,66783,65875,65886,66668.6397602073,66866.48930356759
2024-07-23T17:00:00Z,65872,66134,65775,65948,66557.77210479078,66782.99027597054
2024-07-23T18:00:00Z,65957,66109,65790,65879,66453.34562713066,66700.8093417914
2024-07-23T19:00:00Z,65878,66089,65452,65547,66313.90783834133,66595.91758344673
2024-07-23T20:00:00Z,65540,65994,65494,65864,66244.69124782727,66529.37962131521
2024-07-23T21:00:00Z,65853,66040,65798,65896,66191.04644046923,66471.7996557411
2024-07-23T22:00:00Z,65890,66042,65809,65926,66150.27006501243,66422.18150521918
2024-07-23T23:00:00Z,65931,66048,65819,65944,66118.53620885668,66378.71045929016
2024-07-24T00:00:00Z,65943,66121,65782,65791,66068.14602287873,66325.28223571833
2024-07-24T01:00:00Z,65790,66112,65624,65688,66009.66201935893,66267.34748701667
2024-07-24T02:00:00Z,65671,65921,65473,65879,65989.56017022679,66232.04317001515
2024-07-24T03:00:00Z,65873,66105,65787,66053,65999.32014403805,66215.7665181956
2024-07-24T04:00:00Z,66052,66069,65796,65859,65977.73242957066,66183.33319835963
2024-07-24T05:00:00Z,65859,65914,65623,65823,65953.92744040594,66150.5756348724
2024-07-24T06:00:00Z,65822,65994,65777,65901,65945.78475726656,66127.88694079309
2024-07-24T07:00:00Z,65901,66063,65870,66063,65963.81787153325,66121.98812799373
2024-07-24T08:00:00Z,66065,66460,66005,66445,66037.84589129736,66151.35284363067
2024-07-24T09:00:00Z,66444,66478,66306,66428,66097.86960032853,66176.50258511878
2024-07-24T10:00:00Z,66406,66613,66375,66494,66158.81273873952,66205.36598647162
2024-07-24T11:00:00Z,66509,66573,66353,66380,66192.84154816422,66221.24180588328
2024-07-24T12:00:00Z,66374,66575,66192,66231,66198.71207921587,66222.12891443935
2024-07-24T13:00:00Z,66221,66920,66209,66360,66223.52560549034,66234.66264949032
2024-07-24T14:00:00Z,66359,67112,66312,66768,66307.29089695337,66283.14786317301
2024-07-24T15:00:00Z,66767,66822,66116,66189,66289.09229742209,66274.58896652093
2024-07-24T16:00:00Z,66182,66494,65984,66408,66307.38579012638,66286.71724229175
2024-07-24T17:00:00Z,66402,66713,66322,66600,66352.40336087617,66315.1974929925
2024-07-24T18:00:00Z,66600,66656,65719,65754,66260.34130535676,66264.1795390841
2024-07-24T19:00:00Z,65756,66104,65576,65611,66160.44264299418,66204.79958098555
2024-07-24T20:00:00Z,65652,66072,65652,66039,66141.75915945662,66189.72689180504
