time,open,high,low,close
2023-01-01T00:00:00Z,16530,16532,16507,16521
2023-01-01T01:00:00Z,16520,16542,16519,16542
2023-01-01T02:00:00Z,16540,16546,16532,16537
2023-01-01T03:00:00Z,16537,16537,16515,16522
2023-01-01T04:00:00Z,16523,16523,16509,16509
2023-01-01T05:00:00Z,16512,16519,16507,16518
2023-01-01T06:00:00Z,16519,16535,16519,16530
2023-01-01T07:00:00Z,16531,16533,16496,16517
2023-01-01T08:00:00Z,16517,16521,16501,16504
2023-01-01T09:00:00Z,16504,16529,16498,16529
2023-01-01T10:00:00Z,16527,16533,16524,16533
2023-01-01T11:00:00Z,16533,16544,16532,16544
2023-01-01T12:00:00Z,16544,16560,16544,16555
2023-01-01T13:00:00Z,16555,16559,16537,16541
2023-01-01T14:00:00Z,16544,16550,16540,16542
2023-01-01T15:00:00Z,16542,16546,16535,16546
2023-01-01T16:00:00Z,16546,16569,16546,16558
2023-01-01T17:00:00Z,16562,16586,16557,16572
2023-01-01T18:00:00Z,16573,16592,16573,16584
2023-01-01T19:00:00Z,16588,16612,16588,16597
2023-01-01T20:00:00Z,16597,16617,16594,16602
2023-01-01T21:00:00Z,16603,16603,16592,16602
2023-01-01T22:00:00Z,16603,16604,16590,16599
2023-01-01T23:00:00Z,16599,16622,16599,16615
2023-01-02T00:00:00Z,16615,16620,16584,16584
2023-01-02T01:00:00Z,16584,16584,16552,16561
2023-01-02T02:00:00Z,16560,16582,16556,16582
2023-01-02T03:00:00Z,16582,16688,16579,16661
2023-01-02T04:00:00Z,16660,16664,16630,16631
2023-01-02T05:00:00Z,16631,16648,16618,16641
2023-01-02T06:00:00Z,16642,16650,16633,16636
2023-01-02T07:00:00Z,16636,16746,16632,16718
2023-01-02T08:00:00Z,16716,16752,16710,16725
2023-01-02T09:00:00Z,16728,16738,16710,16712
2023-01-02T10:00:00Z,16712,16744,16706,16723
2023-01-02T11:00:00Z,16723,16730,16706,16730
2023-01-02T12:00:00Z,16730,16735,16718,16718
2023-01-02T13:00:00Z,16718,16719,16682,16688
2023-01-02T14:00:00Z,16689,16700,16672,16695
2023-01-02T15:00:00Z,16696,16739,16691,16727
2023-01-02T16:00:00Z,16732,16734,16708,16709
2023-01-02T17:00:00Z,16708,16715,16706,16709
2023-01-02T18:00:00Z,16709,16722,16704,16718
2023-01-02T19:00:00Z,16718,16728,16711,16727
2023-01-02T20:00:00Z,16728,16730,16706,16724
